id	pdf_page	starred_heading	contains_editorial_star	first_line
1.3	5	0	0	(Well-known problem). Can the group ring Z[G] of a torsion-free group G
1.5	5	0	0	(Well-known problem). Does there exist a group whose group ring does not
1.6	5	0	0	(A. I. Mal’cev). Is the group ring of a right-ordered group embeddable into a
1.12	5	0	0	(W. Magnus). The problem of the isomorphism to the trivial group for all
1.20	5	0	0	For which groups (classes of groups) is the lattice of normal subgroups first
1.27	5	0	0	Describe the universal theory of free groups.                   M. I. Kargapolov
1.28	5	0	0	Describe the universal theory of a free nilpotent group.        M. I. Kargapolov
1.31	5	0	0	Is a residually finite group with the maximum condition for subgroups almost
1.33	5	0	0	(A. I. Mal’cev). Describe the automorphism group of a free solvable group.
1.35	5	0	0	c) (A. I. Mal’cev, L. Fuchs). Do there exist simple pro-orderable groups?
1.40	5	0	0	Is a group a nilgroup if it is the product of two normal nilsubgroups?
1.46	5	0	0	What conditions ensure the normalizer of a relatively convex subgroup to be
1.51	5	0	0	What conditions ensure a matrix group over a field (of complex numbers) to
1.54	5	0	0	Describe all linear orderings of a free metabelian group with a finite number of
1.55	5	0	0	Give an elementary classification of linearly ordered free groups with a fixed
1.65	6	0	0	Is the class of groups of abelian extensions of abelian groups closed under taking
1.67	6	0	0	Suppose that G is a finitely presented group, F a free group whose rank is
1.74	6	0	0	Describe all minimal topological groups, that is, non-discrete groups all of whose
1.86	6	0	0	Is it true that the identical relations of a polycyclic group have a finite basis?
1.87	6	0	0	The same question for matrix groups (at least over a field of characteristic 0).
2.5	7	0	0	According to Plotkin, a group is called an N R-group if the set of its nil-elements
2.6	7	0	0	In an N R-group, the set of generalized central elements coincides with the nil-
2.9	7	0	0	Do there exist regular associative operations on the class of groups satisfying the
2.22	7	0	0	a) An abstract group-theoretic property Σ is said to be radical (in our sense)
2.24	7	0	0	Are Engel torsion-free groups orderable?                              A. I. Kokorin
2.25	7	0	0	a) (L. Fuchs). Describe the groups which are linearly orderable in only finitely
2.26	7	0	0	(L. Fuchs). Characterize as abstract groups the multiplicative groups of order-
2.28	7	0	0	Can every orderable group be embedded in a pro-orderable group? (See 1.35
2.40	7	0	0	c) The I-theory (Q-theory) of a class K of universal algebras is the totality of
2.42	8	0	0	What is the structure of the groupoid of quasivarieties
2.45	8	0	1	b) (P. Hall). Prove or refute the following conjecture: If the marginal subgroup
2.48	8	1	1	(N. Aronszajn). Let G be a connected topological group locally satisfying
2.56	8	0	0	Classify up to isomorphism the abelian connected algebraic unipotent linear
2.67	8	0	0	Find conditions which ensure that the nilpotent product of pure nilpotent
2.68	8	0	0	What can one say about lattice isomorphisms of a pure soluble group? Is
2.74	8	0	0	(Well-known problem). Describe the finite groups all of whose involutions have
2.78	8	0	0	Any set of all subgroups of the same given order of a finite group G that
2.80	9	0	0	Does every non-trivial group satisfying the normalizer condition contain a
2.81	9	0	0	a) Does there exist an axiomatizable class of lattices K such that the lattice of
2.82	9	0	0	Can the class of groups with the nth Engel condition [x, y, . . . , y ] = 1 be
2.84	9	0	0	Suppose that a locally finite group G is a product of two locally nilpotent
3.3	10	0	0	(Well-known problem). Describe the automorphism group of the free associative
3.5	10	0	0	Can a subgroup of a relatively free group be radicable? In particular, can a
3.12	10	0	0	(Well-known problem). Is a locally finite group with a full Sylow basis locally
3.16	10	0	0	The word problem for a group admitting a single defining relation in the variety
3.20	10	0	0	Does the class of orderable groups coincide with the smallest axiomatizable
3.34	10	0	0	(Well-known problem). The conjugacy problem for groups with a single defining
3.38	10	0	0	Describe the topological groups which have no proper closed subgroups.
3.43	10	0	0	Let µ be an infinite cardinal number. A group G is said to be µ-overnilpotent
3.44	10	0	0	Suppose that a group is generated by its ascendant soluble subgroups. Is it
3.45	10	0	0	Let X be a hereditary radical. Is it true that, in a locally nilpotent torsion-free
3.46	11	1	1	Does there exist a group having more than one, but finitely many maximal
3.47	11	0	0	(Well-known problem of A. I. Maltsev). Is it true that every locally nilpotent
3.48	11	0	0	It can be shown that hereditary radicals form a semigroup with respect to
3.49	11	0	0	Does the semigroup generated by all indecomposable radicals satisfy any iden-
3.55	11	0	0	Is every binary soluble group all of whose abelian subgroups have finite rank,
3.57	11	0	0	Determine the laws of distribution of non-soluble and simple group-theoretic
3.60	11	0	0	The notion of the p-length of an arbitrary finite group was introduced in
4.2	12	0	0	a) Find an infinite finitely generated group of exponent < 100.
4.5	12	0	0	b) Is it true that an arbitrary finitely presented group has either polynomial or
4.6	12	0	0	(P. Hall). Are the projective groups in the variety of metabelian groups free?
4.7	12	0	0	(Well-known problem). For which ring epimorphisms R → Q is the correspond-
4.9	12	0	0	Let G be a finitely generated torsion-free nilpotent group. Are there only a finite
4.11	12	0	0	Let F be the free group of rank 2 in some variety of groups. If F is not finitely
4.13	12	0	0	Prove that every finite non-abelian p-group admits an automorphism of order
4.17	12	0	0	If V is a variety of groups, denote by V  e the class of all finite V-groups. How
4.18	12	0	0	Characterize the classes K of groups, meeting the following requirements: sub-
4.19	12	0	0	Denote by C the class of all groups G with the following property: if U and V
4.24	12	0	0	Suppose T is a non-abelian Sylow 2-subgroup of a finite simple group G.
4.30	13	0	0	Describe the groups (finite groups, abelian groups) that are the full automor-
4.31	13	0	0	Describe the lattice of quasivarieties of nilpotent groups of nilpotency class 2.
4.33	13	0	0	Let Kn be the class of all groups with a single defining relation in the variety
4.34	13	0	0	Let v be a group word, and let Kv be the class of groups G such that there
4.40	13	0	0	Let C be a fixed non-trivial group (for instance, C = Z/2Z). As it is shown in
4.42	13	0	0	For what natural numbers n does the following equality hold:
4.44	13	0	0	(Well-known problem). Describe the groups whose automorphism groups are
4.46	13	0	0	a) We call a variety of groups a limit variety if it cannot be defined by finitely
4.48	14	0	0	A locally finite group is said to be an A-group if all of its Sylow subgroups are
4.50	14	0	0	What are the soluble varieties of groups all of whose finitely generated sub-
4.55	14	0	0	Let G be a finite group, and Z(p) the localization at p. Can every projective
4.56	14	0	0	Let R be a commutative Noetherian ring with 1, and Λ an R-algebra, which is
4.65	14	0	0	Conjecture:             never divides           if p, q are distinct primes. The
4.66	14	0	0	Let P be a presentation of a finite group G on mp generators and rp relations.
4.72	14	0	0	Is it true that every variety of groups whose free groups are residually nilpotent
4.74	14	0	0	b) Is every binary-finite 2-group of order greater than 2 non-simple?
4.75	14	0	0	Let G be a periodic group containing an involution i and suppose that the
5.1	15	0	0	b) Is every locally finite minimal non-F C-group distinct from its derived sub-
5.5	15	0	0	If G is a finitely generated abelian-by-polycyclic-by-finite group, does there exist
5.14	15	0	0	An intersection of some Sylow 2-subgroups is called a Sylow intersection and
5.15	15	0	0	Do there exist finitely presented residually finite groups with recursive, but not
5.16	15	0	0	Is every countable locally linear group embeddable in a finitely presented group?
5.25	15	0	0	Prove that the factor-group of any soluble linearly ordered group by its derived
5.26	15	0	0	Let G be a finite p-group with the minimal number of generators d, and let r1
5.27	16	0	0	Prove that if G is a torsion-free pro-p-group with a single defining relation,
5.30	16	0	0	(Well-known problem). Suppose that G is a finite soluble group, A ⩽ Aut G,
5.33	16	0	0	(Y. Ihara). Consider the quaternion algebra Q with norm f = x2 − τ y 2 −
5.35	16	0	0	Let V be a vector space of dimension n over a field. A subgroup G of GLn (V )
5.36	16	0	0	What profinite groups satisfy the maximum condition for closed subgroups?
5.38	16	0	0	Is it the case that if A, B are finitely generated soluble Hopfian groups then
5.39	16	0	0	Prove that every countable group can act faithfully as a group of automorphisms
5.42	16	0	0	Does the free group of rank 2 have an infinite ascending chain of verbal sub-
5.44	17	0	0	A union A = Vα of varieties of groups (in the lattice of varieties) is called
5.47	17	1	1	Is every countable abelian group embeddable in the center of some finitely
5.48	17	0	0	Suppose that G and H are finitely generated residually finite groups having
5.52	17	1	1	It is not hard to show that a finite perfect group is the normal closure of a
5.54	17	0	0	Let p, q, r be distinct primes and u(x, y, z) a commutator word in three vari-
5.55	17	0	0	Find a finite p-group that cannot be embedded in a finite p-group with trivial
5.56	17	0	0	a) Let p be a prime greater than 3. Is it true that every finite group of expo-
5.59	17	0	0	Let G be a locally finite group which is the product of a p-subgroup and a
5.67	17	0	0	Is a periodic residually finite group finite if it satisfies the weak minimum
6.1	18	0	0	A subgroup H of an arbitrary group G is said to be C-closed if H = C 2 (H) =
6.2	18	0	0	The totality of C-closed subgroups of an arbitrary group G is a complete lattice
6.3	18	0	0	A group G is called of type (F P )∞ if the trivial G-module Z has a resolution by
6.5	18	0	0	Is it the case that every soluble group G of type (F P )∞ is constructible in the
6.9	18	0	0	Is the derived subgroup of any locally normal group decomposable into a product
6.10	18	0	0	Let p be a prime and n be an integer with p > 2n + 1. Let x, y be p-elements
6.11	18	0	0	Let L be the class of locally compact groups with no small subgroups
6.21	19	0	0	G. Higman proved that, for any prime number p, there exists a natural number
6.24	19	0	0	The membership problem for the braid group on four strings. It is known
6.26	19	0	0	Let D be a normal set of involutions in a finite group G and let Γ(D) be the
6.28	19	0	0	Let A be an elementary abelian 2-group which is a T I-subgroup of a finite
6.29	19	0	0	Suppose that a finite group A is isomorphic to the group of all topological
6.30	19	1	1	Let G be a residually finite Hopfian group, and let G
6.31	19	0	0	b) Let G be a finitely generated residually finite group, d(G) the minimal
6.32	19	0	0	Let Fn be the free profinite group of finite rank n > 1. Is it true that for
6.38	19	0	0	b) Is it true that an arbitrary subgroup of GLn (k) that intersects every con-
6.39	20	0	0	A class of groups K is said to be radical if it is closed under taking homomorphic
6.45	20	1	1	Construct a characteristic subgroup N of a finitely generated free group
6.47	20	0	0	(C. D. H. Cooper). Let G be a group, v a group word in two variables such that
6.48	20	0	0	Is every infinite binary finite p-group non-simple? Here p is a prime number.
6.51	20	0	0	Let F be a local subformation of some formation X of finite groups and let Ω
6.55	20	0	0	A group G of the form G = F ⋋ H is said to be a Frobenius group withSkernel
6.56	20	0	0	Let G = F · ⟨a⟩ be a Frobenius group with the complement ⟨a⟩ of prime order.
6.59	20	0	0	A group G is said to be (conjugacy, p-conjugacy) biprimitively finite if, for any
6.60	21	0	0	Do there exist infinite finitely generated simple periodic (conjugacy) biprim-
6.61	21	0	0	Is every infinite periodic (conjugacy) biprimitively finite group without involu-
6.62	21	0	0	Is a (conjugacy, p-conjugacy) biprimitively finite group finite if it has a finite
7.3	22	0	0	Prove that the periodic product of odd exponent n ⩾ 665 of non-trivial groups
7.5	22	0	0	We say that a group is indecomposable if any two of its proper subgroups generate
7.15	22	0	1	Prove that if F ∗ (G) is quasisimple and α ∈ Aut G, |α| = 2, then CG (α)
7.19	22	0	0	Construct an explicit example of a finitely presented simple group with word
7.21	22	0	0	Is there an algorithm which decides if an arbitrary finitely presented solvable
7.23	22	0	0	Does there exist an algorithm which decides, for a given list of group identities,
